DATE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
2017-01-01T00:00:00,99999,V020,"080,1,N,0077,1","99999,9,9,N","016000,1,9,9","+0294,1","+0228,1","10112,1"
2017-01-01T00:54:00,PGUM ,V030,"070,5,N,0067,5","22000,5,9,N","016093,5,N,5","+0300,5","+0233,5","10109,5"
2017-01-01T01:27:00,99999,V020,"050,1,N,0082,1","00853,1,9,N","016093,1,9,9","+0310,1","+0230,1","99999,9"
2017-01-01T01:27:00,99999,V020,"050,1,N,0082,1","00853,1,9,N","016093,1,9,9","+0310,1","+0230,1","99999,9"
2017-01-01T01:54:00,PGUM ,V030,"060,5,N,0082,5","00853,5,M,N","016093,5,N,5","+0311,5","+0228,5","10103,5"
2017-01-01T02:25:00,99999,V020,"060,1,N,0062,1","01128,1,C,N","016093,1,9,9","+0300,1","+0230,1","99999,9"
2017-01-01T02:25:00,99999,V020,"060,1,N,0062,1","01128,1,C,N","016093,1,9,9","+0300,1","+0230,1","99999,9"
2017-01-01T02:54:00,PGUM ,V030,"060,5,N,0082,5","00914,5,M,N","016093,5,N,5","+0306,5","+0228,5","10095,5"
2017-01-01T03:11:00,99999,V020,"060,1,N,0067,1","00853,1,9,N","016093,1,9,9","+0310,1","+0230,1","99999,9"
2017-01-01T03:11:00,99999,V020,"060,1,N,0067,1","00853,1,9,N","016093,1,9,9","+0310,1","+0230,1","99999,9"
2017-01-01T03:52:00,PGUM ,V030,"050,5,N,0082,5","01158,5,M,N","016093,5,N,5","+0310,5","+0220,5","99999,9"
2017-01-01T03:54:00,PGUM ,V030,"050,5,N,0082,5","00853,5,M,N","016093,5,N,5","+0306,5","+0222,5","10090,5"
2017-01-01T04:06:00,99999,V020,"070,1,N,0067,1","99999,9,9,N","016093,1,9,9","+0310,1","+0220,1","99999,9"
2017-01-01T04:06:00,99999,V020,"070,1,N,0067,1","99999,9,9,N","016093,1,9,9","+0310,1","+0220,1","99999,9"
2017-01-01T04:41:00,99999,V020,"060,1,N,0062,1","00853,1,9,N","016093,1,9,9","+0310,1","+0230,1","99999,9"
2017-01-01T04:41:00,PGUM ,V030,"060,5,N,0062,5","00853,5,M,N","016093,5,N,5","+0310,5","+0230,5","99999,9"
2017-01-01T04:54:00,PGUM ,V030,"080,5,N,0067,5","00853,5,M,N","016093,5,N,5","+0306,5","+0228,5","10087,5"
2017-01-01T05:48:00,99999,V020,"060,1,N,0072,1","00975,1,9,N","016093,1,9,9","+0300,1","+0230,1","99999,9"
2017-01-01T05:48:00,99999,V020,"060,1,N,0072,1","00975,1,9,N","016093,1,9,9","+0300,1","+0230,1","99999,9"
2017-01-01T05:54:00,PGUM ,V030,"060,5,N,0067,5","00975,5,M,N","016093,5,N,5","+0294,5","+0228,5","10089,5"
2017-01-01T06:00:00,99999,V020,"060,1,N,0067,1","99999,9,9,N","016000,1,9,9","+0294,1","+0228,1","10089,1"
2017-01-01T06:54:00,PGUM ,V030,"050,5,N,0062,5","01006,5,M,N","016093,5,N,5","+0289,5","+0233,5","10092,5"
