DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC
2013-01-01 00:10:00,80,5,N,88,5
2013-01-01 00:54:00,90,5,N,57,5
2013-01-01 01:32:00,90,5,N,62,5
2013-01-01 02:43:00,70,5,N,77,5
2013-01-01 02:54:00,80,5,N,82,5
2013-01-01 03:25:00,70,5,N,82,5
2013-01-01 03:40:00,80,5,N,82,5
2013-01-01 04:49:00,70,5,N,82,5
2013-01-01 04:54:00,80,5,N,77,5
2013-01-01 06:51:00,90,5,N,72,5
2013-01-01 08:19:00,80,5,N,98,5
2013-01-01 10:24:00,90,5,N,57,5
2013-01-01 11:16:00,80,5,N,62,5
2013-01-01 16:36:00,90,5,N,57,5
2013-01-01 16:54:00,80,5,N,51,5
2013-01-02 00:08:00,70,5,N,72,5
2013-01-02 00:54:00,80,5,N,93,5
2013-01-02 01:09:00,60,5,N,103,5
2013-01-02 02:54:00,90,5,N,93,5
2013-01-02 04:37:00,70,5,N,67,5
2013-01-02 04:54:00,80,5,N,82,5
2013-01-02 05:29:00,80,5,N,77,5
2013-01-02 09:30:00,80,5,N,67,5
2013-01-02 14:54:00,70,5,N,72,5
2013-01-02 15:15:00,80,5,N,62,5
2013-01-02 15:24:00,80,5,N,67,5
2013-01-02 16:54:00,80,5,N,51,5
2013-01-02 17:01:00,80,5,N,51,5
2013-01-02 21:54:00,80,5,N,77,5
2013-01-02 22:01:00,80,5,N,93,5
2013-01-02 22:35:00,70,5,N,57,5
2013-01-02 22:54:00,70,5,N,77,5
2013-01-03 01:54:00,80,5,N,72,5
2013-01-03 08:54:00,80,5,N,72,5
2013-01-04 02:54:00,80,5,N,57,5
2013-01-04 03:07:00,90,5,N,57,5
2013-01-04 05:43:00,80,5,N,51,5
2013-01-04 07:54:00,80,5,N,36,5
2013-01-04 22:54:00,70,5,N,72,5
2013-01-05 08:54:00,60,5,N,72,5
2013-01-05 10:54:00,60,5,N,62,5
2013-01-05 11:54:00,60,5,N,51,5
2013-01-05 12:54:00,60,5,N,51,5
2013-01-05 13:54:00,60,5,N,57,5
2013-01-05 14:54:00,70,5,N,62,5
2013-01-05 15:54:00,130,5,N,21,5
2013-01-05 17:06:00,140,5,N,15,5
2013-01-05 17:54:00,180,5,N,21,5
2013-01-05 18:09:00,140,5,N,36,5
2013-01-05 18:12:00,150,5,N,36,5
2013-01-05 18:34:00,140,5,N,21,5
2013-01-05 18:51:00,140,5,N,15,5
2013-01-05 18:54:00,130,5,N,21,5
2013-01-05 19:05:00,100,5,N,36,5
2013-01-05 19:24:00,100,5,N,41,5
2013-01-05 19:29:00,100,5,N,41,5
