,DATE,CALL_SIGN,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
1,2020-01-01T00:54:00,PGUM ,090,5,N,0088,5,22000,5,9,N,016093,5,N,5,+0289,5,+0206,5,+0206,5
2,2020-01-01T01:54:00,PGUM ,080,5,N,0072,5,01676,5,M,N,016093,5,N,5,+0278,5,+0206,5,+0206,5
3,2020-01-01T02:54:00,PGUM ,080,5,N,0062,5,01524,5,M,N,016093,5,N,5,+0289,5,+0200,5,+0200,5
4,2020-01-01T03:54:00,PGUM ,080,5,N,0077,5,01463,5,M,N,016093,5,N,5,+0283,5,+0200,5,+0200,5
5,2020-01-01T04:54:00,PGUM ,080,5,N,0082,5,22000,5,C,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
6,2020-01-01T05:54:00,PGUM ,070,5,N,0062,5,22000,5,C,N,016093,5,N,5,+0278,5,+0211,5,+0211,5
8,2020-01-01T06:54:00,PGUM ,070,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0272,5,+0211,5,+0211,5
9,2020-01-01T07:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
10,2020-01-01T08:54:00,PGUM ,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
11,2020-01-01T09:54:00,PGUM ,060,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
12,2020-01-01T10:54:00,PGUM ,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
13,2020-01-01T11:54:00,PGUM ,060,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
15,2020-01-01T12:54:00,PGUM ,070,5,N,0062,5,01433,5,M,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
16,2020-01-01T13:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
17,2020-01-01T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
18,2020-01-01T14:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
19,2020-01-01T15:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
20,2020-01-01T16:54:00,PGUM ,060,5,N,0041,5,01829,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
21,2020-01-01T17:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0239,5,+0217,5,+0217,5
23,2020-01-01T18:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0244,5,+0217,5,+0217,5
24,2020-01-01T19:54:00,PGUM ,060,5,N,0062,5,01676,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
25,2020-01-01T20:54:00,PGUM ,060,5,N,0046,5,01676,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
26,2020-01-01T21:54:00,PGUM ,060,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
27,2020-01-01T22:54:00,PGUM ,070,5,N,0041,5,01372,5,M,N,008047,5,N,5,+0256,5,+0222,5,+0222,5
30,2020-01-01T23:54:00,PGUM ,090,5,N,0046,5,00762,5,M,N,012875,5,N,5,+0261,5,+0233,5,+0233,5
35,2020-01-02T00:14:00,PGUM ,070,5,N,0057,5,00823,5,M,N,016093,5,N,5,+0278,5,+0239,5,+0239,5
37,2020-01-02T00:25:00,PGUM ,070,5,N,0067,5,00945,5,M,N,016093,5,N,5,+0278,5,+0228,5,+0228,5
38,2020-01-02T00:54:00,PGUM ,070,5,N,0088,5,01676,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
41,2020-01-02T01:54:00,PGUM ,050,5,N,0098,5,01036,5,M,N,016093,5,N,5,+0294,5,+0206,5,+0206,5
42,2020-01-02T02:54:00,PGUM ,050,5,N,0082,5,01128,5,M,N,016093,5,N,5,+0300,5,+0211,5,+0211,5
45,2020-01-02T03:52:00,PGUM ,070,5,N,0098,5,00975,5,M,N,016093,5,N,5,+0290,5,+0210,5,+0210,5
46,2020-01-02T03:54:00,PGUM ,060,5,N,0082,5,00823,5,M,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
49,2020-01-02T04:54:00,PGUM ,070,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0294,5,+0206,5,+0206,5
50,2020-01-02T05:54:00,PGUM ,080,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0283,5,+0211,5,+0211,5
52,2020-01-02T06:54:00,PGUM ,070,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0278,5,+0206,5,+0206,5
53,2020-01-02T07:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0272,5,+0211,5,+0211,5
54,2020-01-02T08:54:00,PGUM ,060,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
55,2020-01-02T09:54:00,PGUM ,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0261,5,+0206,5,+0206,5
56,2020-01-02T10:54:00,PGUM ,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
57,2020-01-02T11:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
59,2020-01-02T12:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
60,2020-01-02T13:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
61,2020-01-02T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
62,2020-01-02T14:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0244,5,+0217,5,+0217,5
63,2020-01-02T15:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
66,2020-01-02T16:54:00,PGUM ,080,5,N,0015,5,00762,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
69,2020-01-02T17:54:00,PGUM ,050,5,N,0031,5,01524,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
71,2020-01-02T18:54:00,PGUM ,070,5,N,0041,5,01341,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
75,2020-01-02T19:27:00,PGUM ,060,5,N,0041,5,01006,5,M,N,016093,5,N,5,+0244,5,+0222,5,+0222,5
76,2020-01-02T19:54:00,PGUM ,050,5,N,0031,5,01524,5,M,N,016093,5,N,5,+0239,5,+0222,5,+0222,5
77,2020-01-02T20:54:00,PGUM ,070,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0250,5,+0222,5,+0222,5
80,2020-01-02T21:54:00,PGUM ,080,5,N,0057,5,00427,5,M,N,009656,5,N,5,+0244,5,+0228,5,+0228,5
81,2020-01-02T22:00:00,PGUM ,090,5,N,0062,5,00488,5,M,N,004023,5,V,5,+0244,5,+0228,5,+0228,5
85,2020-01-02T22:05:00,PGUM ,100,5,N,0057,5,00914,5,M,N,004828,5,N,5,+0239,5,+0222,5,+0222,5
87,2020-01-02T22:14:00,PGUM ,090,5,N,0062,5,00244,5,M,N,004023,5,V,5,+0239,5,+0222,5,+0222,5
89,2020-01-02T22:30:00,PGUM ,100,5,N,0051,5,01158,5,M,N,004828,5,N,5,+0239,5,+0222,5,+0222,5
90,2020-01-02T22:54:00,PGUM ,110,5,N,0036,5,01981,5,M,N,016093,5,N,5,+0244,5,+0228,5,+0228,5
91,2020-01-02T23:54:00,PGUM ,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0261,5,+0228,5,+0228,5
93,2020-01-03T00:54:00,PGUM ,070,5,N,0067,5,01524,5,M,N,016093,5,N,5,+0283,5,+0228,5,+0228,5
94,2020-01-03T01:54:00,PGUM ,060,5,N,0088,5,01676,5,M,N,016093,5,N,5,+0283,5,+0217,5,+0217,5
95,2020-01-03T02:54:00,PGUM ,060,5,N,0077,5,01250,5,M,N,016093,5,N,5,+0294,5,+0211,5,+0211,5
96,2020-01-03T03:54:00,PGUM ,060,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0289,5,+0206,5,+0206,5
97,2020-01-03T04:54:00,PGUM ,070,5,N,0077,5,22000,5,C,N,016093,5,N,5,+0289,5,+0206,5,+0206,5
98,2020-01-03T05:54:00,PGUM ,070,5,N,0062,5,01402,5,M,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
100,2020-01-03T06:54:00,PGUM ,050,5,N,0067,5,22000,5,9,N,016093,5,N,5,+0283,5,+0206,5,+0206,5
101,2020-01-03T07:54:00,PGUM ,070,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0267,5,+0211,5,+0211,5
102,2020-01-03T08:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
103,2020-01-03T09:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
104,2020-01-03T10:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
105,2020-01-03T11:54:00,PGUM ,070,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
107,2020-01-03T12:54:00,PGUM ,080,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0206,5,+0206,5
108,2020-01-03T13:54:00,PGUM ,070,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
109,2020-01-03T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
110,2020-01-03T14:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
111,2020-01-03T15:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
112,2020-01-03T16:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
113,2020-01-03T17:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0244,5,+0211,5,+0211,5
115,2020-01-03T18:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0250,5,+0206,5,+0206,5
116,2020-01-03T19:54:00,PGUM ,050,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0244,5,+0211,5,+0211,5
117,2020-01-03T20:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
118,2020-01-03T21:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0222,5,+0222,5
119,2020-01-03T22:54:00,PGUM ,080,5,N,0057,5,01829,5,M,N,016093,5,N,5,+0267,5,+0217,5,+0217,5
120,2020-01-03T23:54:00,PGUM ,090,5,N,0082,5,01676,5,M,N,016093,5,N,5,+0272,5,+0222,5,+0222,5
122,2020-01-04T00:54:00,PGUM ,100,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0283,5,+0211,5,+0211,5
123,2020-01-04T01:54:00,PGUM ,060,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0294,5,+0194,5,+0194,5
124,2020-01-04T02:54:00,PGUM ,090,5,N,0072,5,01250,5,M,N,016093,5,N,5,+0294,5,+0211,5,+0211,5
128,2020-01-04T03:40:00,PGUM ,080,5,N,0077,5,01006,5,M,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
129,2020-01-04T03:54:00,PGUM ,100,5,N,0093,5,22000,5,C,N,016093,5,N,5,+0289,5,+0206,5,+0206,5
130,2020-01-04T04:54:00,PGUM ,080,5,N,0072,5,22000,5,9,N,016093,5,N,5,+0294,5,+0206,5,+0206,5
131,2020-01-04T05:54:00,PGUM ,070,5,N,0072,5,22000,5,C,N,016093,5,N,5,+0289,5,+0206,5,+0206,5
133,2020-01-04T06:54:00,PGUM ,060,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0283,5,+0211,5,+0211,5
134,2020-01-04T07:54:00,PGUM ,060,5,N,0057,5,22000,5,9,N,016093,5,N,5,+0272,5,+0211,5,+0211,5
135,2020-01-04T08:54:00,PGUM ,070,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
136,2020-01-04T09:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
137,2020-01-04T10:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
138,2020-01-04T11:54:00,PGUM ,060,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0261,5,+0211,5,+0211,5
140,2020-01-04T12:54:00,PGUM ,070,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
141,2020-01-04T13:54:00,PGUM ,070,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0256,5,+0211,5,+0211,5
142,2020-01-04T13:59:00,PGUM ,999,9,9,9999,9,99999,9,9,9,999999,9,9,9,+9999,9,+9999,9,+9999,9
143,2020-01-04T14:54:00,PGUM ,060,5,N,0031,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
144,2020-01-04T15:54:00,PGUM ,050,5,N,0036,5,22000,5,9,N,016093,5,N,5,+0239,5,+0211,5,+0211,5
145,2020-01-04T16:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0244,5,+0217,5,+0217,5
146,2020-01-04T17:54:00,PGUM ,060,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
148,2020-01-04T18:54:00,PGUM ,060,5,N,0041,5,22000,5,9,N,016093,5,N,5,+0250,5,+0206,5,+0206,5
149,2020-01-04T19:54:00,PGUM ,070,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
150,2020-01-04T20:54:00,PGUM ,060,5,N,0051,5,22000,5,9,N,016093,5,N,5,+0250,5,+0211,5,+0211,5
151,2020-01-04T21:54:00,PGUM ,060,5,N,0046,5,22000,5,9,N,016093,5,N,5,+0261,5,+0217,5,+0217,5
152,2020-01-04T22:54:00,PGUM ,070,5,N,0062,5,22000,5,9,N,016093,5,N,5,+0278,5,+0217,5,+0217,5
153,2020-01-04T23:54:00,PGUM ,070,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
155,2020-01-05T00:54:00,PGUM ,090,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0294,5,+0206,5,+0206,5
156,2020-01-05T01:54:00,PGUM ,070,5,N,0082,5,22000,5,9,N,016093,5,N,5,+0289,5,+0211,5,+0211,5
157,2020-01-05T02:54:00,PGUM ,080,5,N,0077,5,22000,5,9,N,016093,5,N,5,+0306,5,+0206,5,+0206,5
