DATE,WND_direction,WND_dQC,WND_type,WND_speed,WND_speedQC,SKY_ceiling,SKY_ceilingQC,SKY_ceilingDC,SKY_CAVOK,VIS_distance,VIS_distanceQC,VIS_variability,VIS_variabilityQC,AIR_temp,AIR_tempQC,DEW_temp,DEW_tempQC,SLP_pressure,SLP_pressureQC
2016-01-01 00:54:00,080,5,N,0082,5,00914,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2016-01-01 01:54:00,060,5,N,0088,5,02134,5,M,N,016093,5,N,5,+0289,5,+0228,5,+0228,5
2016-01-01 05:54:00,050,5,N,0077,5,00914,5,M,N,016093,5,N,5,+0289,5,+0222,5,+0222,5
2016-01-01 06:54:00,050,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0278,5,+0222,5,+0222,5
2016-01-01 07:54:00,050,5,N,0046,5,01829,5,M,N,016093,5,N,5,+0272,5,+0228,5,+0228,5
2016-01-01 08:54:00,040,5,N,0051,5,02286,5,M,N,016093,5,N,5,+0267,5,+0228,5,+0228,5
2016-01-01 09:54:00,050,5,N,0067,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2016-01-01 10:54:00,030,5,N,0046,5,22000,5,C,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
2016-01-01 11:54:00,030,5,N,0036,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
2016-01-01 12:54:00,070,5,N,0051,5,02743,5,M,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
2016-01-01 13:54:00,040,5,N,0057,5,01676,5,M,N,016093,5,N,5,+0239,5,+0228,5,+0228,5
2016-01-01 14:52:00,080,5,N,0046,5,01189,5,M,N,004828,5,N,5,+0230,5,+0220,5,+0220,5
2016-01-01 14:54:00,080,5,N,0041,5,01250,5,M,N,003219,5,N,5,+0233,5,+0222,5,+0222,5
2016-01-01 15:52:00,070,5,N,0082,5,01189,5,M,N,003219,5,N,5,+0240,5,+0230,5,+0230,5
2016-01-01 15:54:00,070,5,N,0077,5,01189,5,M,N,003219,5,N,5,+0239,5,+0228,5,+0228,5
2016-01-01 16:54:00,050,5,N,0036,5,01676,5,M,N,009656,5,N,5,+0239,5,+0228,5,+0228,5
2016-01-01 17:54:00,070,5,N,0051,5,01829,5,M,N,016093,5,N,5,+0244,5,+0211,5,+0211,5
2016-01-01 19:54:00,070,5,N,0046,5,01311,5,M,N,016093,5,N,5,+0250,5,+0217,5,+0217,5
2016-01-02 12:54:00,050,5,N,0031,5,22000,5,C,N,016093,5,N,5,+0256,5,+0217,5,+0217,5
2016-01-02 13:54:00,060,5,N,0041,5,02743,5,M,N,011265,5,N,5,+0250,5,+0233,5,+0233,5
2016-01-02 14:32:00,060,5,N,0077,5,01097,5,M,N,009656,5,N,5,+0240,5,+0230,5,+0230,5
2016-01-02 14:54:00,070,5,N,0057,5,03048,5,M,N,012875,5,N,5,+0239,5,+0222,5,+0222,5
2016-01-02 16:54:00,070,5,N,0041,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
2016-01-02 17:54:00,060,5,N,0077,5,01036,5,M,N,008047,5,N,5,+0256,5,+0228,5,+0228,5
2016-01-02 18:54:00,080,5,N,0051,5,02591,5,M,N,016093,5,N,5,+0250,5,+0228,5,+0228,5
2016-01-02 19:54:00,070,5,N,0051,5,22000,5,C,N,016093,5,N,5,+0250,5,+0233,5,+0233,5
2016-01-02 20:54:00,070,5,N,0057,5,22000,5,C,N,016093,5,N,5,+0256,5,+0233,5,+0233,5
2016-01-02 22:54:00,080,5,N,0057,5,01524,5,M,N,016093,5,N,5,+0267,5,+0233,5,+0233,5
2016-01-02 23:54:00,090,5,N,0077,5,02134,5,M,N,016093,5,N,5,+0272,5,+0233,5,+0233,5
2016-01-03 01:54:00,080,5,N,0098,5,22000,5,C,N,016093,5,N,5,+0283,5,+0228,5,+0228,5
