DATE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
2023-01-01T00:00:00,99999,V020,"060,1,N,0082,1","22000,1,9,N","016000,1,9,9","+0283,1","+0261,1","10134,1"
2023-01-01T00:34:00,99999,V020,"060,1,N,0067,1","00732,1,9,N","004828,1,9,9","+0272,1","+0261,1","99999,9"
2023-01-01T00:34:00,99999,V020,"060,1,N,0067,1","00732,1,9,N","004828,1,9,9","+0272,1","+0261,1","99999,9"
2023-01-01T00:51:00,99999,V020,"060,1,N,0057,1","00427,1,C,N","004023,1,9,9","+0280,1","+0270,1","99999,9"
2023-01-01T00:51:00,PGUM ,V030,"060,5,N,0057,5","00427,5,M,N","004023,5,V,5","+0280,5","+0270,5","99999,9"
2023-01-01T00:54:00,PGUM ,V030,"060,5,N,0072,5","00427,5,M,N","004828,5,N,5","+0272,5","+0261,5","10131,5"
2023-01-01T01:01:00,99999,V020,"070,1,N,0057,1","00823,1,9,N","004828,1,9,9","+0267,1","+0261,1","99999,9"
2023-01-01T01:01:00,99999,V020,"070,1,N,0057,1","00823,1,9,N","004828,1,9,9","+0267,1","+0261,1","99999,9"
2023-01-01T01:08:00,99999,V020,"070,1,N,0067,1","00975,1,9,N","004828,1,9,9","+0272,1","+0261,1","99999,9"
2023-01-01T01:08:00,PGUM ,V030,"070,5,N,0067,5","00975,5,M,N","004828,5,N,5","+0272,5","+0261,5","99999,9"
2023-01-01T01:54:00,PGUM ,V030,"060,5,N,0082,5","01036,5,M,N","006437,5,N,5","+0272,5","+0256,5","10123,5"
2023-01-01T02:54:00,PGUM ,V030,"060,5,N,0077,5","01524,5,M,N","016093,5,N,5","+0289,5","+0256,5","10113,5"
2023-01-01T03:54:00,PGUM ,V030,"070,5,N,0093,5","01829,5,M,N","016093,5,N,5","+0294,5","+0250,5","10103,5"
2023-01-01T04:54:00,PGUM ,V030,"060,5,N,0108,5","22000,5,C,N","016093,5,N,5","+0294,5","+0244,5","10097,5"
2023-01-01T05:54:00,PGUM ,V030,"070,5,N,0077,5","01341,5,M,N","016093,5,N,5","+0289,5","+0244,5","10096,5"
2023-01-01T06:00:00,99999,V020,"070,1,N,0077,1","99999,9,9,N","016000,1,9,9","+0289,1","+0244,1","10096,1"
